path,filename,url,status
00_Canonical\TH_Information_Theory\Bekenstein_Bound.md,Bekenstein_Bound.md,,stub_no_url
00_Canonical\TH_Information_Theory\Computational_Universe_(Lloyd).md,Computational_Universe_(Lloyd).md,,stub_no_url
"00_Canonical\TH_Information_Theory\Digital_Physics_(Zuse,_Fredkin).md","Digital_Physics_(Zuse,_Fredkin).md",,stub_no_url
00_Canonical\TH_Information_Theory\Landauer's_Principle.md,Landauer's_Principle.md,,stub_no_url
00_Canonical\TH_Information_Theory\Shannon_Information_Theory.md,Shannon_Information_Theory.md,,stub_no_url
00_Canonical\TH_Information_Theory\_INDEX.md,_INDEX.md,,stub_no_url
00_Canonical\TH_Information_Theory\Complexity\Kolmogorov_Complexity.md,Kolmogorov_Complexity.md,,stub_no_url
00_Canonical\TH_Information_Theory\General\Information.md,Information.md,,stub_no_url
00_Canonical\TH_Information_Theory\General\Information_Theory.md,Information_Theory.md,,stub_no_url
00_Canonical\TH_Information_Theory\Quantum_Information\Fisher_Information.md,Fisher_Information.md,https://en.wikipedia.org/wiki/Fisher_information,stub_has_url
00_Canonical\TH_Information_Theory\Quantum_Information\Holevo_Bound.md,Holevo_Bound.md,https://en.wikipedia.org/wiki/Holevo%27s_theorem,stub_has_url
00_Canonical\TH_Information_Theory\Quantum_Information\Margolus-Levitin_Theorem.md,Margolus-Levitin_Theorem.md,https://en.wikipedia.org/wiki/Margolus%E2%80%93Levitin_theorem,stub_has_url
00_Canonical\TH_Information_Theory\Shannon\Channel_Capacity.md,Channel_Capacity.md,,stub_no_url
00_Canonical\TH_Information_Theory\Shannon\Mutual_Information.md,Mutual_Information.md,,stub_no_url
00_Canonical\TH_Information_Theory\Shannon\Noisy-Channel_Coding_Theorem.md,Noisy-Channel_Coding_Theorem.md,,stub_no_url
00_Canonical\TH_Information_Theory\Shannon\Shannon_Information_Theory.md,Shannon_Information_Theory.md,,stub_no_url
00_Canonical\TH_Information_Theory\Thermodynamics\Landauer's_Principle.md,Landauer's_Principle.md,,stub_no_url
00_Canonical\TH_Physics\AXIOM_AND_THEORY_LINKS.md,AXIOM_AND_THEORY_LINKS.md,,stub_no_url
00_Canonical\TH_Physics\_INDEX.md,_INDEX.md,,stub_no_url
00_Canonical\TH_Physics\Cosmology\Hubble_Tension.md,Hubble_Tension.md,,stub_no_url
00_Canonical\TH_Physics\Cosmology\Lambda-CDM_Model.md,Lambda-CDM_Model.md,,stub_no_url
00_Canonical\TH_Physics\Cosmology\de_Sitter_Space.md,de_Sitter_Space.md,,stub_no_url
00_Canonical\TH_Physics\Digital_Physics\Algorithmic_Information_Theory.md,Algorithmic_Information_Theory.md,,stub_no_url
00_Canonical\TH_Physics\Electromagnetism\An induced electric current always tends to cancel the field change that caused it.md,An induced electric current always tends to cancel the field change that caused it.md,,stub_no_url
00_Canonical\TH_Physics\Electromagnetism\electric field lines can begin or end inside a region of space only when there is charge in that region.md,electric field lines can begin or end inside a region of space only when there is charge in that region.md,,stub_no_url
00_Canonical\TH_Physics\Electromagnetism\electric field lines.md,electric field lines.md,,stub_no_url
00_Canonical\TH_Physics\Electromagnetism\electromagnetic wave polarization.md,electromagnetic wave polarization.md,,stub_no_url
00_Canonical\TH_Physics\General\Body Mass Measurement Device.md,Body Mass Measurement Device.md,,stub_no_url
00_Canonical\TH_Physics\General\abuse statistical techniques.md,abuse statistical techniques.md,,stub_no_url
00_Canonical\TH_Physics\Particle_Physics\a material particle has non-zero rest mass.md,a material particle has non-zero rest mass.md,,stub_no_url
00_Canonical\TH_Physics\Particle_Physics\a non-material subatomic particle always travels at the speed of light.md,a non-material subatomic particle always travels at the speed of light.md,,stub_no_url
00_Canonical\TH_Physics\Quantum\alpha particles.md,alpha particles.md,,stub_no_url
00_Canonical\TH_Physics\Quantum\central-field approximation.md,central-field approximation.md,,stub_no_url
00_Canonical\TH_Physics\Quantum\de Broglie wavelength.md,de Broglie wavelength.md,,stub_no_url
00_Canonical\TH_Physics\Quantum\degenerate quantum states.md,degenerate quantum states.md,,stub_no_url
00_Canonical\TH_Physics\Relativity\Einstein's first postulate of special relativity.md,Einstein's first postulate of special relativity.md,,stub_no_url
00_Canonical\TH_Physics\Relativity\Einstein's general theory of relativity.md,Einstein's general theory of relativity.md,,stub_no_url
00_Canonical\TH_Physics\Relativity\Einstein's second postulate of special relativity.md,Einstein's second postulate of special relativity.md,,stub_no_url
00_Canonical\TH_Physics\Thermodynamics\Boltzmann constant.md,Boltzmann constant.md,,stub_no_url
"00_Canonical\TH_Physics\Thermodynamics\disks, and information media.md","disks, and information media.md",,stub_no_url
00_Canonical\TH_Physics\Thermodynamics\entropy.md,entropy.md,,stub_no_url
00_Canonical\TH_Physics\Waves_Optics\Doppler effect for electromagnetic waves.md,Doppler effect for electromagnetic waves.md,,stub_no_url
00_Canonical\TH_Physics\Waves_Optics\a ray is an imaginary line along the direction of travel of the wave.md,a ray is an imaginary line along the direction of travel of the wave.md,,stub_no_url
00_Canonical\TH_Uncategorized\_From_06_NOTES\Chalmers.md,Chalmers.md,,stub_no_url
00_Canonical\TH_Uncategorized\_From_06_NOTES\Von Neumann.md,Von Neumann.md,,stub_no_url
